schema_hash	template_count	templates
15a27608bf5873ccdfd5da7c0399d309a09d642e493916f796c5c71966236684	15	XZTC/BG-06-01:保护客户机密信息工作检查记录表 | XZTC/BG-07-01:检验公正性检查记录表 | XZTC/BG-10-02:合格分包方名册 | XZTC/BG-11-01:供应商评价表 | XZTC/BG-11-02:合格供应商名册 | XZTC/BG-11-03:采购计划验收表 | XZTC/BG-12-01:客户满意度调查表 | XZTC/BG-19-01:记录归档登记表 | XZTC/BG-19-02:记录借阅登记表 | XZTC/BG-19-03:质量记录清单及保存期限表 | XZTC/BG-19-04:技术记录清单及保存期限表 | XZTC/BG-23-01:允许方法偏离申报审批表 | XZTC/BG-31-01:年度日常监督计划表 | XZTC/BG-31-02:日常监督记录表 | XZTC/BG-32-01:风险评估报告
52bbc3627dc9dde4ee0509ab65a5d5a65225c4e1bc77ae61ec4244310127edc1	9	XZTC/BG-20-01:内部审核报告 | XZTC/BG-20-02:年度内审计划表 | XZTC/BG-20-03:内部审核(首次)会议签到记录表 | XZTC/BG-20-05:内部审核(末次)会议签到记录表 | XZTC/BG-20-07:现场检测能力审核记录表 | XZTC/BG-20-08:内部审核日程计划表 | XZTC/BG-29-01:报告更改申请表 | XZTC/BG-29-02:报告抽查情况记录表 | XZTC/BG-29-03:报告发放登记表
e2cd4cd23615d06375dda76323aec54185f25a28f5ee0b345a79eefaf5c0e3b1	8	XZTC/BG-02-01:检测环境监控记录表 | XZTC/BG-05-01:仪器设备周期检定计划表 | XZTC/BG-05-02:仪器设备计量溯源结果确认表 | XZTC/BG-11-04:仪器设备购置申报表 | XZTC/BG-11-05:购入仪器设备验收记录 | XZTC/BG-35-01:标准物质台帐 | XZTC/BG-35-02:标准物质使用记录表 | XZTC/BG-35-03:标准物质报废申请表
7c67eba1db7f8591254570e0497072c272c16724a1611051d582d3a9555fa22f	7	XZTC/BG-09-01:合同评审记录表 | XZTC/BG-09-02:检测委托合同单 | XZTC/BG-09-03:合同、协议登记表 | XZTC/BG-09-04:长期检验委托合同 | XZTC/BG-10-01:检测分包方评审表 | XZTC/BG-24-01:开展新项目申请表 | XZTC/BG-24-02:开展新项目评审表
93a11c7ddab2345ce24aa28293b48b712a7f5d1b32412a9107e2bc489bdd5829	6	XZTC/BG-14-01:客户投诉登记表 | XZTC/BG-14-02:客户投诉处理通知单 | XZTC/BG-15-01:不符合项处置通知表 | XZTC/BG-16-01:实施纠正措施记录表 | XZTC/BG-16-01:实施纠正措施记录表 | XZTC/BG-17-01:实施预防措施记录表
7ad5fabb2d043fd41b72b26e0591626b7c11d64ef77566cc6e81de0cc2cede3e	5	XZTC/BG-12-02:外来人员进入检测区域登记表 | XZTC/BG-30-01:年度内部质量监控计划表 | XZTC/BG-30-02:质量监控异常情况记录表 | XZTC/BG-30-03:能力验证计划表 | XZTC/BG-30-04:实验室间比对计划表
02a29e49a5817e6767ad8d3f4cb0359cd165645b2201a00ab63c4dda1ebee681	2	XZTC/BG-04-01:仪器设备和标准物质期间核查计划 | XZTC/BG-04-04:仪器设备功能性核查计划
3a6dc06361c6db945a2b4f461dfd8631b4fbef60b4d3100bb42a6f08caec3e14	2	XZTC/BG-33-01:安全检查记录表 | XZTC/BG-33-01:安全检查记录表（安 全 检 查 记 录 表）
5ffd2b594752bf99997b966866c44d9ff85bb05f66fa34ade5c1fedf6c4da4c1	2	XZTC/BG-03-02:仪器设备使用记录表（新疆中和鉴珠宝玉石质量检测研究?） | XZTC/BG-03-02:仪器设备使用记录表
6f1a51c5ff516a0890e98ae140d2fa6dec0b3676b941f3032ac2af4ecb9a7f3e	2	XZTC/BG-28-02:样品标识卡（（六联）） | XZTC/BG-28-02:样品标识卡
884e5d2c7fe8c92114afd0c626e30a686809064957f821cb4619962af433632d	2	XZTC/BG-META-2017-01:记录表格封面 | XZTC/BG-META-2017-02:记录表格目录
8bb86a443a8aef1fbd00bfd53697879fc306512a7131d8af4dccc42289d852d9	2	XZTC/BG-28-01:样品台账 | XZTC/BG-28-03:样品损坏、丢失报告表
a03d69bca9f00fceb22bc0dcc6821e159df9bbe7daa0236fb1eb5f2b2ff38b6c	2	XZTC/BG-30-05:内部质量监控记录表 | XZTC/BG-30-06:内部质量监控结果报告
